Crawl_Date,Actual_Time,Flight_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Status,Tail_Number,Aircraft_Type,Category
2025-12-23,23:59,04:17,Seoul,ICN,Jeju Air,7C2201,2,11L,Landed,HL8555,B38M,passenger
2025-12-23,23:48,01:32,Nha Trang,CXR,VietJet Air,VJ778,1,11L,Landed,VN-A639,A321,passenger
2025-12-23,23:41,01:48,Ho Chi Minh City,SGN,Vietnam Airlines,VN262,1,11L,Landed,VN-A873,B78X,passenger
2025-12-23,23:38,01:48,Ho Chi Minh City,SGN,Vietnam Airlines,VN7204,1,11L,Landed,VN-A339,A321,passenger
2025-12-23,23:35,05:42,Dubai,DWC,Emirates,EK9852,0,11L,Landed,A6-EFO,B77L,cargo
2025-12-23,23:32,01:45,Ho Chi Minh City,SGN,Vietnam Airlines,VN260,1,11L,Landed,VN-A874,B78X,passenger
2025-12-23,23:27,00:57,Hue,HUI,Vietnam Airlines,VN1548,1,11L,Landed,VN-A616,A21N,passenger
2025-12-23,23:23,01:40,Ho Chi Minh City,SGN,VietJet Air,VJ196,1,11L,Landed,VN-A811,A333,passenger
2025-12-23,23:19,01:40,Ho Chi Minh City,SGN,VietJet Air,VJ190,1,11L,Landed,VN-A685,A321,passenger
2025-12-23,23:17,01:01,Da Nang,DAD,VietJet Air,VJ520,1,11L,Landed,VN-A645,A321,passenger
2025-12-23,23:14,00:55,Hue,HUI,VietJet Air,VJ568,1,11L,Landed,VN-A642,A321,passenger
2025-12-23,23:09,01:37,Da Lat,DLI,VietJet Air,VJ410,1,11L,Landed,VN-A651,A321,passenger
2025-12-23,23:07,01:47,Ho Chi Minh City,SGN,VietJet Air,VJ156,1,11L,Landed,VN-A650,A320,passenger
2025-12-23,23:04,01:47,Ho Chi Minh City,SGN,Vietravel Airlines,VU794,1,11L,Landed,VN-A136,A320,passenger
2025-12-23,23:01,01:07,Da Nang,DAD,VietJet Air,VJ518,1,11L,Landed,VN-A548,A21N,passenger
2025-12-23,22:59,01:51,Ho Chi Minh City,SGN,Bamboo Airways,QH286,1,11L,Landed,VN-A227,A321,passenger
2025-12-23,22:55,12:38,Anchorage,ANC,UPS,5X72,0,11L,Landed,N608UP,B748,cargo
2025-12-23,22:52,01:53,Can Tho,VCA,VietJet Air,VJ464,1,11L,Landed,VN-A649,A321,passenger
2025-12-23,22:49,00:57,Hue,HUI,Vietnam Airlines,VN7540,1,11L,Landed,VN-A396,A321,passenger
2025-12-23,22:47,01:34,Guangzhou,CAN,China Southern Airlines,CZ371,2,11L,Landed,B-32GG,A20N,passenger
2025-12-23,22:44,01:43,Ho Chi Minh City,SGN,Vietnam Airlines,VN256,1,11L,Landed,VN-A614,A321,passenger
2025-12-23,22:39,02:45,Kuala Lumpur,KUL,Vietnam Airlines,VN680,2,11L,Landed,VN-A601,A321,passenger
2025-12-23,22:37,01:21,Siem Reap,SAI,Vietnam Airlines,VN842,2,11L,Landed,VN-A603,A321,passenger
2025-12-23,22:35,01:31,Nha Trang,CXR,Vietnam Airlines,VN1562,1,11L,Landed,VN-A623,A21N,passenger
2025-12-23,22:22,01:47,Ho Chi Minh City,SGN,Vietnam Airlines,VN218,1,11L,Landed,VN-A863,B789,passenger
2025-12-23,22:19,05:27,Tokyo,NRT,All Nippon Airways,NH897,2,11L,Landed,JA840A,B788,passenger
2025-12-23,22:17,05:34,Tokyo,NRT,Japan Airlines,JL751,2,11L,Landed,JA619J,B763,passenger
2025-12-23,22:14,04:14,Seoul,ICN,Asiana Airlines,OZ733,2,11L,Landed,HL8521,A359,passenger
2025-12-23,22:12,01:48,Ho Chi Minh City,SGN,VietJet Air,VJ158,1,11L,Landed,VN-A648,A321,passenger
2025-12-23,22:08,01:29,Macau,MFM,Air Macau,NX982,2,11L,Landed,B-MBP,A20N,passenger
2025-12-23,22:04,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN220,1,11L,Landed,VN-A864,B789,passenger
2025-12-23,22:01,04:06,Seoul,ICN,Korean Air,KE447,2,11L,Landed,HL8571,B78X,passenger
2025-12-23,21:52,01:36,Chengdu,TFU,Sichuan Airlines,3U3905,2,11L,Landed,B-6700,A320,passenger
2025-12-23,21:47,02:03,Dhaka,DAC,Cathay Pacific,CX48,0,11L,Landed,B-LIF,B744,cargo
2025-12-23,21:43,01:52,Can Tho,VCA,Vietnam Airlines,VN1206,1,11L,Landed,VN-A336,A321,passenger
2025-12-23,21:43,01:05,Da Nang,DAD,N/A,VN6070,1,11L,Landed,VN-A363,A321,passenger
2025-12-23,21:37,01:44,Ho Chi Minh City,SGN,Bamboo Airways,QH268,1,11L,Landed,ER-00005,A320,passenger
2025-12-23,21:31,00:45,Vientiane,VTE,Vietnam Airlines,VN920,2,29R,Landed,VN-A324,A321,passenger
2025-12-23,21:27,01:41,Hong Kong,HKG,HK express,UO542,2,11L,Landed,B-KKJ,A21N,passenger
2025-12-23,21:24,01:27,Bangkok,BKK,Vietnam Airlines,VN618,2,11L,Landed,VN-A605,A321,passenger
2025-12-23,21:21,01:38,Ho Chi Minh City,SGN,Vietnam Airlines,VN258,1,11L,Landed,VN-A872,B78X,passenger
2025-12-23,21:18,01:47,Ho Chi Minh City,SGN,Sun PhuQuoc Airways,SPQ878,1,11L,Landed,VN-A282,A21N,passenger
2025-12-23,21:16,02:41,Taipei,TPE,VietJet Air,VJ943,2,11L,Landed,VN-A528,A21N,passenger
2025-12-23,21:10,01:24,Bangkok,BKK,FedEx,FX6002,0,11L,Landed,N117FE,B763,cargo
2025-12-23,21:07,01:43,Ho Chi Minh City,SGN,VietJet Air,VJ160,1,11L,Landed,VN-A542,A321,passenger
2025-12-23,21:03,04:35,Denpasar,DPS,VietJet Air,VJ998,2,11L,Landed,VN-A500,A21N,passenger
2025-12-23,21:00,01:43,Ho Chi Minh City,SGN,Vietnam Airlines,VN232,1,11L,Landed,VN-A393,A321,passenger
