Crawl_Date,Actual_Time,Origin,IATA,Airline,Flight_No,Terminal,Arrival_Runway,Belt,Status,Actual_Tail,Aircraft_Type,Category,Arrival_Flight_Duration_Minutes,Is_Return_Emergency,Is_Same_Origin_Unmatched,Same_Origin_Action,Has_Matched_Departure,Has_Matched_Arrival,Match_Status,Data_Completeness,Exclude_From_Propagation_Training,Record_Type,Airline_Type,Tail_Sequence_Day,Is_First_Flight,Departure_Delay_Reg_Target,Arrival_Delay,Accumulated_Delay,Turnaround_Buffer_Model,Is_Long_Ground_Turnaround,Tail_Stagnation_Duration_Model,Turnaround_Deficit_Min,Turnaround_Slack_Min,Prev_Departure_Delay_Tail_1,Prev_Departure_Delay_Tail_2,Prev_Turnaround_Buffer_Tail_1,Prev_Turnaround_Buffer_Tail_2,Rolling_Departure_Delay_Tail_3,Rolling_Turnaround_Buffer_Tail_3,Prev_Departure_Delay_Airport_1,Rolling_Departure_Delay_Airport_3,Is_Diverted_Prev,Airport_Load_Factor,Number_of_Flights_in_Last_Hour,Is_Airport_Congested,Flight_Density_Disruption,Is_Parallel_Usage,Is_Wide_Body,Time_of_Day,Peak_Hour_Indicator,Is_Special_Days,Is_Imputed_Link,Standard_Turnaround,A_CDM_TOBT_Deficit,Ground_Handling_Pressure,temperature,precipitation,cloudcover,pressure,humidity,visibility,dew_point_2m,weather_code,cape,lifted_index,cloud_cover_low,Visibility_SM,Visibility_Deficit_5KM_M,Visibility_Deficit_3SM_M,Visibility_Severity_Score,Dew_Point_Spread_C,Wind_Sector,Wind_Runway_Relative_Angle_Deg,Wind_Kt,Crosswind_Kt,Headwind_Kt,Tailwind_Default_Runway_Kt,Temp_Change_1H_C,Temp_Change_3H_C,Pressure_Change_3H_Hpa,Precip_Cumsum_1H_Mm,Precip_Cumsum_3H_Mm,Precip_Cumsum_6H_Mm,Wind_Gust_Estimate_Kt,Crosswind_Max_3H_Kt,Gust_Variation_Kt,Is_Rain,Is_Heavy_Rain,Is_Low_Visibility,Is_Fog,Is_Dewpoint_Spread_Le_1_5C,Is_Radiation_Fog_Risk,Is_WMO_Rain_Code,Is_Below_3SM_Visibility,Is_Below_1SM_Visibility,Is_Crosswind_10kt,Is_Tailwind_Default_Runway_5kt,Is_Low_Ceiling_Risk,Is_Severe_Convection_Risk,Is_Thunderstorm_Risk,Convective_Severity_Score,Runway_Wet_Risk,Forced_Runway_Swap_Risk,Weather_Delay_Risk_Score,Aviation_Operational_Risk_Score,Destination
2025-12-16,2025-12-16 00:06,Ho Chi Minh City,SGN,VietJet Air,VJ636,1,35L,1.0,Arrived,VN-A656,A320,passenger,,False,False,,False,True,arrival_without_departure,unmatched_arrival,True,Arrival,LCC,1.0,1.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,4.0,1.0,,0.0,0.0,0.0,Early_Morning,0.0,0.0,1.0,50.0,,,22.2,0.4,100.0,1016.0,95.0,8800.0,21.4,51.0,140.0,1.2,100.0,5.47,0.0,0.0,0.0,0.8,NW,29.0,2.16,1.05,1.89,0.0,0.2,0.1,-0.7,0.4,1.7,2.0,2.16,1.26,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,DAD
2025-12-16,2025-12-15 23:55,Seoul,ICN,Eastar Jet,ZE593,2,35L,1.0,Bags Delivered,HL8543,B38M,passenger,,False,False,,True,True,matched,complete,False,Arrival,LCC,1.0,1.0,,-25.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,2.0,0.0,,0.0,0.0,0.0,Night,0.0,0.0,0.0,60.0,,,22.0,1.2,100.0,1016.4,95.0,4260.0,21.0,55.0,80.0,1.5,100.0,2.65,740.0,568.03,2.0,1.0,N,30.0,1.46,0.73,1.26,0.0,-0.3,-0.4,-0.1,1.2,1.4,1.7,1.94,1.26,0.49,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,5.0,DAD
2025-12-16,2025-12-16 01:05,Cheongju,CJJ,Aero-K Airlines,RF531,2,35L,2.0,Bags Delivered,HL8562,A320,passenger,,False,False,,True,True,matched,complete,False,Arrival,LCC,1.0,1.0,,20.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,9.0,6.0,,0.0,0.0,0.0,Early_Morning,0.0,0.0,0.0,50.0,,,22.1,0.8,100.0,1015.8,93.0,7100.0,21.0,53.0,100.0,1.4,100.0,4.41,0.0,0.0,0.0,1.1,N,1.0,1.78,0.03,1.78,0.0,-0.1,-0.2,-0.7,0.8,2.4,2.7,2.16,1.05,0.38,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,DAD
2025-12-16,2025-12-16 00:35,Busan,PUS,Air Busan,BX7315,0,35L,4.0,Bags Delivered,HL8365,A321,general aviation,,False,False,,True,True,matched,complete,False,Arrival,LCC,1.0,1.0,,-25.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,10.0,4.0,,0.0,0.0,0.0,Early_Morning,0.0,0.0,0.0,60.0,,,22.2,0.4,100.0,1016.0,95.0,8800.0,21.4,51.0,140.0,1.2,100.0,5.47,0.0,0.0,0.0,0.8,NW,29.0,2.16,1.05,1.89,0.0,0.2,0.1,-0.7,0.4,1.7,2.0,2.16,1.26,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,DAD
2025-12-16,2025-12-16 00:50,Busan,PUS,Korean Air,KE2093,2,35L,3.0,Bags Delivered,HL7585,A333,passenger,,False,False,,True,True,matched,complete,False,Arrival,FSC,1.0,1.0,,-20.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,12.0,5.0,,0.0,0.0,1.0,Early_Morning,0.0,0.0,0.0,93.0,,,22.2,0.4,100.0,1016.0,95.0,8800.0,21.4,51.0,140.0,1.2,100.0,5.47,0.0,0.0,0.0,0.8,NW,29.0,2.16,1.05,1.89,0.0,0.2,0.1,-0.7,0.4,1.7,2.0,2.16,1.26,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,DAD
2025-12-16,2025-12-16 01:40,Seoul,ICN,VietJet Air,VJ875,2,35L,1.0,Arrived,VN-A687,A321,passenger,,False,False,,True,True,matched,complete,False,Arrival,LCC,1.0,1.0,,-5.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,6.0,8.0,,0.0,0.0,0.0,Early_Morning,0.0,0.0,0.0,60.0,,,22.1,0.8,100.0,1015.8,93.0,7100.0,21.0,53.0,100.0,1.4,100.0,4.41,0.0,0.0,0.0,1.1,N,1.0,1.78,0.03,1.78,0.0,-0.1,-0.2,-0.7,0.8,2.4,2.7,2.16,1.05,0.38,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,3.0,DAD
2025-12-16,2025-12-16 04:00,Manila,MNL,VietJet Air,VJ8021,2,35L,3.0,Arrived,VN-A629,A321,passenger,,False,False,,True,True,matched,complete,False,Arrival,LCC,1.0,1.0,,0.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,1.0,1.0,,0.0,0.0,0.0,Early_Morning,0.0,0.0,0.0,60.0,,,21.8,0.4,100.0,1014.6,95.0,9500.0,20.9,51.0,60.0,1.1,45.0,5.9,0.0,0.0,0.0,0.9,N,1.0,1.3,0.02,1.3,0.0,0.1,-0.3,-1.2,0.4,2.5,4.9,1.89,1.83,0.59,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,DAD
2025-12-16,2025-12-16 07:19,Ho Chi Minh City,SGN,Vietnam Airlines,VN106,1,35L,4.0,Arrived,VN-A338,A321,passenger,,False,False,,True,True,matched,complete,False,Arrival,FSC,1.0,1.0,,-6.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,3.0,2.0,,0.0,0.0,0.0,Morning,1.0,0.0,0.0,60.0,,,22.2,0.2,100.0,1015.3,95.0,9740.0,21.4,51.0,110.0,0.6,65.0,6.05,0.0,0.0,0.0,0.8,NW,14.0,2.65,0.64,2.57,0.0,0.3,0.4,0.7,0.2,0.6,3.1,2.65,0.64,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,DAD
2025-12-16,2025-12-16 07:26,Ho Chi Minh City,SGN,Bamboo Airways,QH150,1,35L,5.0,Arrived,JU-1410,A320,passenger,,False,False,,True,True,matched,complete,False,Arrival,LCC,1.0,1.0,,-14.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,6.0,2.0,,0.0,0.0,0.0,Morning,1.0,0.0,0.0,50.0,,,22.2,0.2,100.0,1015.3,95.0,9740.0,21.4,51.0,110.0,0.6,65.0,6.05,0.0,0.0,0.0,0.8,NW,14.0,2.65,0.64,2.57,0.0,0.3,0.4,0.7,0.2,0.6,3.1,2.65,0.64,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,DAD
2025-12-16,2025-12-16 07:56,Hanoi,HAN,Vietravel Airlines,VU635,1,35L,3.0,Arrived,VN-A129,A321,passenger,,False,False,,True,True,matched,complete,False,Arrival,LCC,1.0,1.0,,11.0,0.0,,0.0,,0.0,0.0,,,,,,,,,0.0,10.0,6.0,,0.0,0.0,0.0,Morning,1.0,0.0,0.0,60.0,,,22.2,0.2,100.0,1015.3,95.0,9740.0,21.4,51.0,110.0,0.6,65.0,6.05,0.0,0.0,0.0,0.8,NW,14.0,2.65,0.64,2.57,0.0,0.3,0.4,0.7,0.2,0.6,3.1,2.65,0.64,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,DAD
